sid ch ts_offset ch_low ch_high
  2    0     -152.95     0 65535
  2    1     -146.29     0 65535
  2    2     -146.84     0 65535
  2    3     -144.96     0 65535
  2    4     -131.00     0 65535
  2    5     -144.84     0 65535
  2    6     -135.65     0 65535
  2    7     -154.70     0 65535
  2    8     -195.21     0 65535
  2    9     -443.66     0 65535
  2   10     -203.02     0 65535
  2   11     -156.49     0 65535
  2   12     -202.25     0 65535
  2   13     -107.75     0 65535
  2   14     -186.98     0 65535
  2   15     -111.48     0 65535
  3    0     -120.05     0 65535
  3    1     -114.33     0 65535
  3    2     -125.57     0 65535
  3    3     -141.98     0 65535
  3    4     -151.14     0 65535
  3    5     -133.61     0 65535
  3    6     -138.86     0 65535
  3    7     -168.67     0 65535
  3    8     -125.51     0 65535
  3    9     -114.93     0 65535
  3   10     -135.50     0 65535
  3   11     -175.14     0 65535
  3   12     -177.74     0 65535
  3   13     -186.42     0 65535
  3   14     -98.073     0 65535
  3   15     -149.81     0 65535
  4    0     -128.73     0 65535
  4    1     -124.08     0 65535
  4    2     -116.14     0 65535
  4    3     -119.43     0 65535
  4    4     -114.58     0 65535
  4    5     -115.25     0 65535
  4    6     -121.19     0 65535
  4    7     -122.56     0 65535
  4    8     -114.44     0 65535
  4    9     -144.30     0 65535
  4   10     -120.40     0 65535
  4   11     -124.06     0 65535
  4   12     -114.41     0 65535
  4   13     -127.84     0 65535
  4   14     -122.58     0 65535
  4   15     -156.48     0 65535
  5    0     -141.30     0 65535
  5    1     -146.44     0 65535
  5    2     -146.18     0 65535
  5    3     -119.90     0 65535
  5    4     -139.79     0 65535
  5    5     -134.64     0 65535
  5    6     -140.56     0 65535
  5    7     -141.45     0 65535
  5    8     -137.10     0 65535
  5    9     -153.14     0 65535
  5   10     -145.21     0 65535
  5   11     -136.74     0 65535
  5   12     -133.54     0 65535
  5   13     -151.68     0 65535
  5   14     -145.74     0 65535
  5   15     -178.00     0 65535
  6    0    0     0 65535
  6    1    0     0 65535
  6    2    0     0 65535
  6    3    0     0 65535
  6    4    0     0 65535
  6    5    0     0 65535
  6    6    0     0 65535
  6    7    0     0 65535
  6    8    0     0 65535
  6    9    0     0 65535
  6   10    0     0 65535
  6   11    0     0 65535
  6   12    0     0 65535
  6   13    0     0 65535
  6   14    0     0 65535
  6   15    0     0 65535
  7    0     -152.99     0 65535
  7    1     -148.33     0 65535
  7    2     -141.44     0 65535
  7    3     -138.03     0 65535
  7    4     -132.17     0 65535
  7    5     -128.67     0 65535
  7    6     -135.53     0 65535
  7    7     -133.65     0 65535
  7    8     -143.66     0 65535
  7    9     -136.78     0 65535
  7   10     -144.23     0 65535
  7   11     -221.93     0 65535
  7   12     -165.92     0 65535
  7   13     -174.97     0 65535
  7   14     -88.187     0 65535
  7   15     -122.34     0 65535
  8    0     -163.19     0 65535
  8    1     -143.41     0 65535
  8    2     -146.06     0 65535
  8    3     -146.96     0 65535
  8    4     -165.90     0 65535
  8    5     -140.69     0 65535
  8    6     -149.71     0 65535
  8    7     -145.63     0 65535
  8    8     -138.88     0 65535
  8    9     -272.78     0 65535
  8   10     -145.71     0 65535
  8   11     -152.55     0 65535
  8   12     -120.85     0 65535
  8   13     -149.44     0 65535
  8   14     0           0 65535
  8   15     0           0 65535
9    0	    0	   0     65535
9    1	    0	   0     65535
9    2	    0	   0     65535
9    3	    0	   0     65535
9    4	    0	   0     65535
9    5	    0	   0     65535
9    6	    0	   0     65535
9    7	    0	   0     65535
9    8	    0	   0     65535
9    9	    0	   0     65535
9    10	    0	   0     65535
9    11	    0	   0     65535
9    12	    0	   0     65535
9    13	    0	   0     65535
9    14	    0	   0     65535
9    15	    0	   0     65535
10    0	    0	   0     65535
10    1	    0	   0     65535
10    2	    0	   0     65535
10    3	    0	   0     65535
10    4	    0	   0     65535
10    5	    0	   0     65535
10    6	    0	   0     65535
10    7	    0	   0     65535
10    8	    0	   0     65535
10    9	    0	   0     65535
10    10    0	   0     65535
10    11    0	   0     65535
10    12    0	   0     65535
10    13    0	   0     65535
10    14    0	   0     65535
10    15    0	   0     65535
11    0	    0	   0     65535
11    1	    0	   0     65535
11    2	    0	   0     65535
11    3	    0	   0     65535
11    4	    0	   0     65535
11    5	    0	   0     65535
11    6	    0	   0     65535
11    7	    0	   0     65535
11    8	    0	   0     65535
11    9	    0	   0     65535
11    10    0	   0     65535
11    11    0	   0     65535
11    12    0	   0     65535
11    13    0	   0     65535
11    14    0	   0     65535
11    15    0	   0     65535
12    0	    0	   0     65535
12    1	    0	   0     65535
12    2	    0	   0     65535
12    3	    0	   0     65535
12    4	    0	   0     65535
12    5	    0	   0     65535
12    6	    0	   0     65535
12    7	    0	   0     65535
12    8	    0	   0     65535
12    9	    0	   0     65535
12    10    0	   0     65535
12    11    0	   0     65535
12    12    0	   0     65535
12    13    0	   0     65535
12    14    0	   0     65535
12    15    0	   0     65535
13    0	    0	   0     65535
13    1	    0	   0     65535
13    2	    0	   0     65535
13    3	    0	   0     65535
13    4	    0	   0     65535
13    5	    0	   0     65535
13    6	    0	   0     65535
13    7	    0	   0     65535
13    8	    0	   0     65535
13    9	    0	   0     65535
13    10    0	   0     65535
13    11    0	   0     65535
13    12    0	   0     65535
13    13    0	   0     65535
13    14    0	   0     65535
13    15    0	   0     65535
14    0	    0	   0     65535
14    1	    0	   0     65535
14    2	    0	   0     65535
14    3	    0	   0     65535
14    4	    0	   0     65535
14    5	    0	   0     65535
14    6	    0	   0     65535
14    7	    0	   0     65535
14    8	    0	   0     65535
14    9	    0	   0     65535
14    10    0	   0     65535
14    11    0	   0     65535
14    12    0	   0     65535
14    13    0	   0     65535
14    14    0	   0     65535
14    15    0	   0     65535
